100;0.0166959
400;0.0123336
700;0.00469179
1000;0.00545177
1300;0.00422561
1600;0.00523855
1900;0.00509848
2200;0.0060531
2500;0.00455512
2800;0.00414532
3100;0.00450238
3400;0.0045095
3700;0.0051763
4000;0.00253144
4300;0.00451284
4600;0.00410913
4900;0.00462463
5200;0.00464827
5500;0.00215788
5800;0.00292327
6100;0.00316268
6400;0.00349081
6700;0.00233387
7000;0.00309498
7300;0.00367012
7600;0.00526756
7900;0.00271218
8200;0.00282287
8500;0.00342256
8800;0.00474034
9100;0.00299348
9400;0.00380091
9700;0.00350851
10000;0.00308395
