100;1.211e-06
400;1.341e-06
700;1.35871e-06
1000;1.3279e-06
1300;1.36323e-06
1600;1.35625e-06
1900;1.33879e-06
2200;1.33905e-06
2500;1.32872e-06
2800;1.30889e-06
3100;1.34439e-06
3400;1.32874e-06
3700;1.44273e-06
4000;1.41758e-06
4300;1.39284e-06
4600;1.41678e-06
4900;1.37561e-06
5200;1.40419e-06
5500;1.69764e-06
5800;1.02343e-06
6100;1.20849e-06
6400;8.535e-07
6700;9.45925e-07
7000;8.76514e-07
7300;8.84616e-07
7600;9.10132e-07
7900;8.92392e-07
8200;9.51354e-07
8500;8.89777e-07
8800;9.05795e-07
9100;8.95517e-07
9400;8.8416e-07
9700;8.97196e-07
10000;1.0841e-06
