100;2.155e-06
400;2.3415e-06
700;2.17157e-06
1000;3.2932e-06
1300;2.24646e-06
1600;2.58706e-06
1900;1.50921e-06
2200;2.22573e-06
2500;2.22724e-06
2800;1.49636e-06
3100;2.07639e-06
3400;1.77765e-06
3700;1.58776e-06
4000;2.7181e-06
4300;1.9186e-06
4600;1.93978e-06
4900;2.61184e-06
5200;2.29358e-06
5500;1.55958e-06
5800;1.57255e-06
6100;1.75757e-06
6400;2.12053e-06
6700;1.86501e-06
7000;2.13654e-06
7300;2.4501e-06
7600;2.07239e-06
7900;1.57604e-06
8200;1.50501e-06
8500;1.50362e-06
8800;1.51478e-06
9100;1.54781e-06
9400;1.55355e-06
9700;1.54688e-06
10000;1.56083e-06
100;3.5101e-05
400;2.4055e-06
700;2.576e-06
1000;2.7925e-06
1300;2.56615e-06
1600;2.30756e-06
1900;1.606e-06
2200;2.66955e-06
2500;1.81624e-06
2800;1.77221e-06
3100;1.606e-06
3400;1.58079e-06
3700;1.72332e-06
4000;2.29515e-06
4300;1.69965e-06
4600;1.56411e-06
4900;1.62133e-06
5200;2.03829e-06
5500;1.67444e-06
5800;1.73593e-06
6100;1.7509e-06
6400;1.91131e-06
6700;1.50706e-06
7000;1.77504e-06
7300;1.77925e-06
7600;1.78858e-06
7900;1.66381e-06
8200;2.32491e-06
8500;1.76972e-06
8800;1.48539e-06
9100;1.32118e-06
9400;1.23897e-06
9700;1.25424e-06
10000;1.387e-06
100;1.399e-06
400;1.51325e-06
700;1.489e-06
1000;1.5727e-06
1300;1.46223e-06
1600;1.46562e-06
1900;1.51411e-06
2200;1.35045e-06
2500;1.57148e-06
2800;1.61761e-06
3100;1.47168e-06
3400;1.48485e-06
3700;1.38192e-06
4000;1.22738e-06
4300;1.21837e-06
4600;1.2395e-06
4900;1.20971e-06
5200;1.15465e-06
5500;1.22015e-06
5800;1.238e-06
6100;1.23574e-06
6400;1.22073e-06
6700;1.25942e-06
7000;1.23966e-06
7300;1.22016e-06
7600;1.25364e-06
7900;1.17416e-06
8200;1.25646e-06
8500;1.22582e-06
8800;1.23674e-06
9100;1.43482e-06
9400;1.57131e-06
9700;1.46999e-06
10000;1.3982e-06
